line_number_1based,vessel_id,ts,prev_ts,lat,long,lat_dd,long_dd
602,matsumae02,2023-07-08 01:31:19,,4131.68,13955.61,41.528,139.926833
604,matsumae06,2023-07-08 01:31:24,,4129.428,13955.613,41.490467,139.926883
606,matsumae01,2023-07-08 01:31:39,,4132.415,13955.543,41.54025,139.925717
608,matsumae04,2023-07-08 01:31:50,,4130.595,13955.715,41.509917,139.928583
610,matsumae02,2023-07-08 01:32:19,,4131.733,13955.679,41.528883,139.927983
612,matsumae06,2023-07-08 01:32:24,,4129.411,13955.618,41.490183,139.926967
614,matsumae01,2023-07-08 01:32:39,,4132.397,13955.54,41.53995,139.925667
616,matsumae04,2023-07-08 01:32:50,,4130.581,13955.712,41.509683,139.928533
618,matsumae02,2023-07-08 01:33:20,,4131.776,13955.774,41.5296,139.929567
620,matsumae06,2023-07-08 01:33:25,,4129.394,13955.62,41.4899,139.927
622,matsumae01,2023-07-08 01:33:39,,4132.379,13955.538,41.53965,139.925633
624,matsumae04,2023-07-08 01:33:50,,4130.568,13955.709,41.509467,139.928483
626,matsumae02,2023-07-08 01:34:19,,4131.784,13955.801,41.529733,139.930017
628,matsumae06,2023-07-08 01:34:24,,4129.379,13955.62,41.48965,139.927
630,matsumae01,2023-07-08 01:34:39,,4132.361,13955.534,41.53935,139.925567
632,matsumae04,2023-07-08 01:34:49,,4130.552,13955.704,41.5092,139.9284
634,matsumae02,2023-07-08 01:35:19,,4131.768,13955.799,41.529467,139.929983
636,matsumae06,2023-07-08 01:35:24,,4129.362,13955.624,41.489367,139.927067
638,matsumae01,2023-07-08 01:35:39,,4132.345,13955.524,41.539083,139.9254
640,matsumae04,2023-07-08 01:35:49,,4130.534,13955.702,41.5089,139.928367
642,matsumae02,2023-07-08 01:36:19,,4131.755,13955.792,41.52925,139.929867
644,matsumae06,2023-07-08 01:36:25,,4129.346,13955.628,41.4891,139.927133
646,matsumae01,2023-07-08 01:36:40,,4132.328,13955.517,41.5388,139.925283
648,matsumae04,2023-07-08 01:36:49,,4130.573,13955.727,41.50955,139.928783
650,matsumae02,2023-07-08 01:37:19,,4131.739,13955.786,41.528983,139.929767
652,matsumae06,2023-07-08 01:37:24,,4129.352,13955.674,41.4892,139.9279
654,matsumae01,2023-07-08 01:37:40,,4132.31,13955.511,41.5385,139.925183
